name,y,x,positions_noise,redshift
point_0,-27.0828,29.7224,0.5,1.688
point_0,-32.1948,27.6202,0.5,1.688
point_0,-46.4400,-5.4402,0.5,1.688
point_1,-22.1004,-13.1503,0.5,1.887
point_1,1.7568,30.3962,0.5,1.887
point_1,-9.6408,-6.6170,0.5,1.887
point_1,-17.7372,-3.3784,0.5,1.887
point_2,-19.6560,14.3644,0.5,3.577
point_2,-15.9588,25.3814,0.5,3.577
point_2,-42.2856,-21.8850,0.5,3.577
point_2,-28.5012,19.0997,0.5,3.577
point_3,-16.5312,34.2838,0.5,2.017
point_3,-38.8764,20.3635,0.5,2.017
point_3,-43.7868,-3.3132,0.5,2.017
point_4,-26.1792,-35.3241,0.5,5.662
point_4,5.6520,2.7232,0.5,5.662
point_4,5.9652,10.0296,0.5,5.662
point_5,-51.8688,1.3166,0.5,5.284
point_5,-25.9740,38.9633,0.5,5.284
point_5,-42.4404,28.2319,0.5,5.284
point_6,-35.7912,-16.4138,0.5,5.662
point_6,-35.3952,16.5690,0.5,5.662
point_6,-22.4172,5.1328,0.5,5.662
point_6,-3.8628,35.1812,0.5,5.662
